our_model_selections,random_model,greedy_selection,min_overlaps,time_elapsed,nodes,number_of_filters,DIM,K
"[1.4702583385370331, 1.4170841104717715, 1.4083929085887217, 1.4083464194972333, 1.3924593416493163, 1.3778406577158882, 1.375192408955968, 1.3743148087615578, 1.372521405599533, 1.372025683444649, 1.3697855258142502, 1.3664820556243633, 1.339838274050961, 1.338646250560344, 1.3312703448408005, 1.3238544549071207, 1.3238447086398721, 1.3080356385856877, 1.302573402099582, 1.2990455159439376]","[0.7276968698715365, 1.171646529291969, 1.2715287170018863, 1.004443127573529, 1.1677348006701245, 1.1346685124807927, 1.1899381759555547, 1.1125794767898836, 0.9233741364798336, 1.1624995172214003, 0.9718982167961622, 1.1713962702982736, 1.2699591780073372, 0.8783773491836748, 1.075219411758272, 1.1677348006701245, 1.200379816825293, 1.0543830607077458, 1.2121196834825865, 0.9426216902957992]","[1.200379816825293, 1.171646529291969, 0.7276968698715365, 1.1899381759555547, 1.2121196834825865, 1.3697855258142502, 1.1346685124807927, 0.9718982167961622, 1.004443127573529, 1.2699591780073372, 1.4170841104717715, 0.9233741364798336, 1.3924593416493163, 1.3080356385856877, 1.3238544549071207, 1.372025683444649, 1.4702583385370331, 1.3312703448408005, 0.8783773491836748, 1.338646250560344]",0.6898632377989087,8.973604202270508,200,10,5,20
"[1.7919686623980653, 1.7756544688482465, 1.7755975094577543, 1.774353223708467, 1.772523694428026, 1.771351914584568, 1.76682354342856, 1.7622761359923613, 1.7583428050484458, 1.756038080120537, 1.7468188080743126, 1.7431334440330537, 1.7416354642134262, 1.732664064934213, 1.7319246843029463, 1.728180397070437, 1.726419280173653, 1.7260301322733191, 1.725271282271658, 1.7239317129287854]","[1.6606952161962334, 1.6904878542605069, 1.6780238767517703, 1.6077655908110664, 1.5294505098979205, 1.5860148337414726, 1.7087698274322864, 1.4898430436727483, 1.4721613692695685, 1.607271129761012, 1.6828947158687064, 1.6036948493978957, 1.5860148337414726, 1.7236760375796334, 1.6906041881901015, 1.6595138289012066, 1.726419280173653, 1.5317308223611306, 1.4963718831703199, 1.523600032190377]","[0.9718982167961622, 0.7276968698715365, 1.3238447086398721, 1.200379816825293, 1.2699591780073372, 1.004443127573529, 1.1125794767898836, 1.2121196834825865, 1.338646250560344, 1.1713962702982736, 1.4702583385370331, 1.3080356385856877, 1.0543830607077458, 1.1677348006701245, 1.1899381759555547, 1.2715287170018863, 0.9233741364798336, 1.3664820556243633, 1.375192408955968, 1.339838274050961]",1.3393656223893267,8.655239582061768,200,10,5,20
"[1.8012785670874338, 1.7948583276129906, 1.7765052082343664, 1.773720794692872, 1.7599689473352718, 1.7438039652959596, 1.7346134644887639, 1.7206516697890242, 1.7174525962775944, 1.7081477994809389, 1.7061240393247075, 1.7026650350514718, 1.695956305398798, 1.6952304968141796, 1.6937486252625578, 1.6893118216185812, 1.6834637047258985, 1.6809738219171801, 1.680305289679683, 1.6783680546094664]","[1.6088387587151625, 1.5270704493821106, 1.3081350935410039, 1.5559461397749392, 1.664518978978283, 1.5584968825501115, 1.4261843924568163, 1.5809286082630325, 1.580653421547548, 1.577182487497616, 1.5781181976589274, 1.4718218263373655, 1.7438039652959596, 1.6714278413594967, 1.6428222575770313, 1.657806534884916, 1.359342299624594, 1.618604840546009, 1.4681560967978153, 1.5372340295725786]","[1.2715287170018863, 1.1346685124807927, 1.0543830607077458, 1.2990455159439376, 1.4170841104717715, 1.4083464194972333, 1.375192408955968, 0.7276968698715365, 1.3238447086398721, 0.9718982167961622, 1.2121196834825865, 1.338646250560344, 1.1624995172214003, 1.3080356385856877, 1.4083929085887217, 1.3664820556243633, 1.339838274050961, 1.3778406577158882, 1.3697855258142502, 1.3924593416493163]",1.2534492333437173,8.815722227096558,200,10,5,20
"[1.7292480143954063, 1.6770134526548663, 1.6572228931667958, 1.6530083441331838, 1.651335781636814, 1.6374053632039045, 1.623841667534844, 1.62207655252236, 1.6130792888990972, 1.6113235061724307, 1.6097249348393972, 1.6044518318909091, 1.603200112007613, 1.6030939796449133, 1.6030825116403624, 1.6030244305216803, 1.5942170143396668, 1.5885869927485397, 1.5884549727652253, 1.5871737542700197]","[1.5441662652307055, 1.485144595658566, 1.4030203024453451, 1.5686009757801405, 1.4156648365142086, 1.5037321199442124, 1.4780197192646123, 1.2742836398336137, 1.651335781636814, 1.5127940422839923, 1.6097249348393972, 1.5885869927485397, 1.6030939796449133, 1.3597767470738717, 1.3597767470738717, 1.4281017805981338, 1.5553933686998815, 1.3368510773647617, 1.4780279630263333, 1.533321879152732]","[1.004443127573529, 1.171646529291969, 1.1125794767898836, 0.7276968698715365, 1.375192408955968, 1.2715287170018863, 1.3238544549071207, 1.1624995172214003, 1.1677348006701245, 1.338646250560344, 0.9233741364798336, 0.8783773491836748, 1.1899381759555547, 1.372025683444649, 1.1346685124807927, 1.2121196834825865, 1.1677348006701245, 1.372521405599533, 1.3697855258142502, 1.4083929085887217]",1.0408500821294087,8.688911199569702,200,10,5,20
"[1.7070614291158699, 1.67953827479287, 1.6708971920408777, 1.6582509223713242, 1.6523856379876656, 1.6499846742434796, 1.649356928743112, 1.6445184961938715, 1.6429630394365873, 1.6397142014464463, 1.6355739778258078, 1.6257728388256263, 1.6240078776248899, 1.6160699428865088, 1.6159664257663706, 1.60959148800671, 1.6080962325006358, 1.607158205015773, 1.6007337641653043, 1.6003350933132234]","[1.5336111671924837, 1.3991380555175705, 1.5492163828868468, 1.4896638450009176, 1.4490982200845453, 1.5795263675619147, 1.5550337386217996, 1.5571119921368055, 1.522571761759074, 1.4829191815270981, 1.2725176108589438, 1.431382984892506, 1.5518584617087954, 1.6257728388256263, 1.4864521875226877, 1.5588367361659563, 1.4003188331869396, 1.5131301677493003, 1.5031920908716232, 1.3584285238291431]","[1.3697855258142502, 1.3312703448408005, 1.3080356385856877, 1.1899381759555547, 1.4083929085887217, 0.9426216902957992, 1.4170841104717715, 1.2715287170018863, 1.4083464194972333, 1.3238544549071207, 1.075219411758272, 1.375192408955968, 1.2699591780073372, 1.1125794767898836, 1.1713962702982736, 0.9233741364798336, 0.9718982167961622, 1.372025683444649, 1.338646250560344, 1.3238447086398721]",1.0858602236748776,8.635720014572144,200,10,5,20
"[1.8884487275094004, 1.8754356798583054, 1.85749229694518, 1.8475569526579823, 1.8404535951371945, 1.836199905307432, 1.8317475482650436, 1.8294533770558798, 1.8254882283514435, 1.8181042534731198, 1.8168454939753074, 1.8147373099414184, 1.8136067072184332, 1.812733577567391, 1.8085521062222194, 1.8056079108840568, 1.8052306738264545, 1.8039580579077832, 1.802794219828778, 1.8007963330434917]","[1.752498433751894, 1.7007808619593623, 1.7262396981179777, 1.7416447195836873, 1.812733577567391, 1.6959975800756255, 1.7162702682871858, 1.7237002695447692, 1.6912437252342838, 1.7687219659168636, 1.7049297993878678, 1.7748682670416298, 1.8056079108840568, 1.8884487275094004, 1.7515677715242548, 1.581820445449855, 1.7812214414826264, 1.6442334731253427, 1.766997521705841, 1.759820264581283]","[1.2715287170018863, 1.2990455159439376, 1.2121196834825865, 1.4702583385370331, 1.3778406577158882, 1.1346685124807927, 1.3312703448408005, 1.075219411758272, 1.372025683444649, 1.3080356385856877, 1.375192408955968, 1.3238544549071207, 1.338646250560344, 0.7276968698715365, 1.171646529291969, 1.302573402099582, 1.1677348006701245, 0.9426216902957992, 1.1899381759555547, 1.004443127573529]",1.3576651207744117,8.598327875137329,200,10,5,20
"[1.7544584959329514, 1.7314910375723966, 1.707675373915581, 1.6940948425569309, 1.6852099837270584, 1.6834123335331113, 1.680383811754557, 1.6787554217592169, 1.6775616530007738, 1.6746527956538464, 1.6690709294153245, 1.6629490272910157, 1.6553075550503957, 1.6485366490867204, 1.6477039714609627, 1.6433838795711253, 1.641683007711972, 1.6394745977892786, 1.63458059307452, 1.6327734000305123]","[1.4790725638755955, 1.3085498710211503, 1.606768828312533, 1.4455053385056296, 1.4176564353613788, 1.590157107978973, 1.3266343704492871, 1.3813481008002582, 1.6787554217592169, 1.5239621262883, 1.4875207718185617, 1.378589890832889, 1.4876160623389383, 1.519154349787789, 1.534592539062164, 1.28679204989214, 1.3720951866395308, 1.342610760165056, 1.7314910375723966, 1.445948484029375]","[1.0543830607077458, 0.8783773491836748, 1.200379816825293, 1.4083464194972333, 1.3664820556243633, 1.3238447086398721, 1.2990455159439376, 1.1677348006701245, 1.3080356385856877, 1.1899381759555547, 0.9426216902957992, 1.4702583385370331, 1.3778406577158882, 1.075219411758272, 1.171646529291969, 1.1677348006701245, 1.2121196834825865, 1.3238544549071207, 1.4083929085887217, 1.004443127573529]",1.1802595931016853,8.659852743148804,200,10,5,20
"[1.826021458518996, 1.7862938228498388, 1.766264565267424, 1.73880057798969, 1.7257838977129534, 1.724258583353174, 1.723856391981974, 1.715158468641096, 1.6996807366003206, 1.6922795700822415, 1.6888352824325894, 1.6887052223068066, 1.6877783118829657, 1.6851577858112556, 1.6848905499444982, 1.6843645138824643, 1.6843042807613946, 1.674444347143357, 1.673501587670537, 1.6734961163963626]","[1.673501587670537, 1.6245273804896354, 1.5835212692947398, 1.5456565477501008, 1.6239977385553521, 1.444636384287679, 1.545115347544836, 1.6843645138824643, 1.525839356095435, 1.549471466396177, 1.4678925847210826, 1.610895863087576, 1.5345949054694432, 1.5387895567618846, 1.4453961647721858, 1.471266606948601, 1.5835212692947398, 1.444636384287679, 1.5628877019704384, 1.4780549149485878]","[1.372025683444649, 1.1677348006701245, 1.3664820556243633, 1.3238447086398721, 1.3080356385856877, 1.3312703448408005, 1.075219411758272, 1.4083929085887217, 1.1125794767898836, 1.1713962702982736, 1.4083464194972333, 1.1624995172214003, 1.375192408955968, 1.1677348006701245, 1.3778406577158882, 1.3697855258142502, 1.2699591780073372, 1.1899381759555547, 1.1346685124807927, 1.004443127573529]",1.2610261754835927,8.610353231430054,200,10,5,20
"[1.7467511566208822, 1.7455900966461322, 1.7390385692508834, 1.7168939728006563, 1.7033031960942921, 1.6857343928579072, 1.6788641804119557, 1.6738129384683191, 1.6718908230037473, 1.6707258049522342, 1.6691330669574842, 1.6686825483041428, 1.66729140927481, 1.665728848664383, 1.6615209177810346, 1.6593040357590247, 1.654162449233975, 1.6528684018934052, 1.6527365503313391, 1.6526546922745917]","[1.476555623951918, 1.4708089213418383, 1.5668407416688763, 1.5417361707941044, 1.4351480428778822, 1.7467511566208822, 1.6276772000816417, 1.5028183259238774, 1.5445277200953766, 1.4026644039498726, 1.2019600036318572, 1.4673844701936396, 1.5813778420891726, 1.7467511566208822, 1.6026725765217804, 1.4777906077880447, 1.7467511566208822, 1.6707258049522342, 1.5197984136646754, 1.6691330669574842]","[1.1713962702982736, 1.1125794767898836, 1.1677348006701245, 1.4170841104717715, 1.4083464194972333, 1.200379816825293, 1.0543830607077458, 0.9718982167961622, 1.3312703448408005, 1.1624995172214003, 1.4702583385370331, 1.3778406577158882, 1.3697855258142502, 1.3238447086398721, 1.302573402099582, 1.3664820556243633, 1.075219411758272, 1.3743148087615578, 1.1677348006701245, 1.3080356385856877]",1.1898661659120158,8.590951681137085,200,10,5,20
"[1.8553862003916262, 1.8130065936543638, 1.79757501354393, 1.796152300491128, 1.7905477109801868, 1.7847064494346474, 1.7809384507441903, 1.7782174608444694, 1.7776162252516843, 1.7727178094748117, 1.772259467360586, 1.7721596997286417, 1.7718405415253966, 1.7715673343022278, 1.7714726672909233, 1.766819391450912, 1.7665279323766332, 1.7637921545337432, 1.7573832042848432, 1.756673097079465]","[1.6606112767114154, 1.5732803207368626, 1.7714726672909233, 1.7714726672909233, 1.739405913427533, 1.6055796667098925, 1.529316127482514, 1.7665279323766332, 1.5735379770874482, 1.658323439433956, 1.7118832734657057, 1.5735379770874482, 1.6950844372143392, 1.6430322145895142, 1.6661945089543646, 1.7782174608444694, 1.6700711338435614, 1.6153579752358929, 1.640446210643213, 1.6480552706071547]","[1.4083464194972333, 1.3664820556243633, 1.338646250560344, 1.4702583385370331, 1.1677348006701245, 1.1677348006701245, 0.7276968698715365, 1.3238544549071207, 1.2699591780073372, 0.9718982167961622, 1.3238447086398721, 1.2715287170018863, 1.075219411758272, 1.1346685124807927, 1.1899381759555547, 1.1624995172214003, 1.4083929085887217, 1.3080356385856877, 1.372521405599533, 1.3697855258142502]",1.3665690990909938,8.597254991531372,200,10,5,20
